date,day_of_week,carrier,fl_num,dest,sch_dep,sch_arr,arr_delay
2019-05-29,3,OO,4082,MSP,17.366666666666667,18.583333333333332,-17.0
2019-05-29,3,OO,4585,SLC,18.75,20.916666666666668,-18.0
2019-05-29,3,OO,5468,DEN,19.666666666666668,21.333333333333332,-32.0
2019-05-29,3,OO,5780,SFO,15.333333333333334,18.266666666666666,-11.0
2019-05-29,3,OO,5864,ORD,13.833333333333334,14.916666666666666,70.0
2019-05-29,3,OO,5962,LAX,15.2,17.85,-32.0
2019-05-08,3,OO,3176,ORD,5.416666666666667,6.366666666666666,-17.0
2019-05-08,3,OO,3244,ORD,14.966666666666667,15.966666666666667,47.0
2019-05-08,3,OO,3574,MSP,18.583333333333332,19.75,9.0
2019-05-08,3,OO,3577,MSP,11.616666666666667,12.783333333333333,-2.0
2019-05-08,3,OO,3876,DTW,9.133333333333333,11.433333333333334,-11.0
2019-05-08,3,OO,4037,MSP,9.433333333333334,10.65,27.0
2019-05-08,3,OO,4046,DTW,19.55,21.833333333333332,-10.0
2019-05-08,3,OO,4082,MSP,17.366666666666667,18.583333333333332,20.0
2019-05-08,3,OO,4585,SLC,18.75,20.916666666666668,0.0
2019-05-08,3,OO,5468,DEN,19.666666666666668,21.333333333333332,3.0
2019-05-08,3,OO,5780,SFO,15.333333333333334,18.266666666666666,-29.0
2019-05-08,3,OO,5864,ORD,13.833333333333334,14.916666666666666,11.0
2019-05-08,3,OO,5962,LAX,15.2,17.85,-23.0
2019-05-22,3,OO,3176,ORD,5.416666666666667,6.366666666666666,-10.0
2019-05-22,3,OO,3244,ORD,14.966666666666667,15.966666666666667,-5.0
2019-05-08,3,MQ,3454,ORD,11.483333333333333,12.483333333333333,-4.0
2019-05-15,3,MQ,3454,ORD,11.483333333333333,12.483333333333333,-9.0
2019-05-22,3,MQ,3454,ORD,11.483333333333333,12.483333333333333,-7.0
2019-05-29,3,MQ,3454,ORD,11.483333333333333,12.483333333333333,-13.0
2019-05-15,3,MQ,3460,DFW,13.3,15.733333333333333,-14.0
2019-05-22,3,MQ,3460,DFW,13.3,15.733333333333333,-2.0
2019-05-29,3,MQ,3460,DFW,13.3,15.733333333333333,204.0
2019-05-01,3,MQ,3479,ORD,5.233333333333333,6.233333333333333,-22.0
2019-05-01,3,MQ,3508,DFW,17.216666666666665,19.733333333333334,104.0
2019-05-08,3,MQ,3533,ORD,18.4,19.433333333333334,-16.0
2019-05-15,3,MQ,3533,ORD,18.4,19.433333333333334,-8.0
2019-05-22,3,MQ,3533,ORD,18.4,19.433333333333334,-5.0
2019-05-29,3,MQ,3533,ORD,18.4,19.433333333333334,24.0
2019-05-29,3,MQ,3582,DFW,7.0,9.466666666666667,9.0
2019-05-01,3,MQ,3597,ORD,9.983333333333333,10.9,2.0
